Player;Nation;Pos;Squad;Comp;Age;MP;Starts;Goals;Shots
Umut Tohumcu;GER;MF;Hoffenheim;Bundesliga;18;2;0;0;2.5
Karl Toko Ekambi;CMR;FWMF;Rennes;Ligue 1;30;2;2;0;1.25
Karl Toko Ekambi;CMR;FWMF;Lyon;Ligue 1;30;19;15;4;2.73
Corentin Tolisso;FRA;MF;Lyon;Ligue 1;28;16;12;0;0.97
Jeremy Toljan;GER;DF;Sassuolo;Serie A;28;19;18;0;0.21
Rafael Tolói;ITA;DF;Atalanta;Serie A;32;17;17;1;0.81
Raúl de Tomás;ESP;FW;Rayo Vallecano;La Liga;28;2;0;0;10
Tiago Tomás;POR;FWMF;Stuttgart;Bundesliga;20;15;11;2;2.07
Takehiro Tomiyasu;JPN;DF;Arsenal;Premier League;24;16;4;0;0.18
James Tomkins;ENG;DF;Crystal Palace;Premier League;33;4;2;1;0.74
Fikayo Tomori;ENG;DF;Milan;Serie A;25;19;18;1;0.34
Sandro Tonali;ITA;MF;Milan;Serie A;22;19;17;2;1.26
Ivan Toney;ENG;FW;Brentford;Premier League;26;20;20;14;2.76
Pablo Torre;ESP;FW;Barcelona;La Liga;19;1;0;0;0
David Torres;ESP;DF;Valladolid;La Liga;19;2;1;0;0
Ferrán Torres;ESP;FW;Barcelona;La Liga;22;17;6;2;3.75
Óliver Torres;ESP;MFFW;Sevilla;La Liga;28;19;19;3;1.03
Pau Torres;ESP;DF;Villarreal;La Liga;26;17;17;0;0.29
Roberto Torres;ESP;FWMF;Osasuna;La Liga;33;2;0;0;0
Lucas Torró;ESP;MF;Osasuna;La Liga;28;19;19;0;1.08
Nabil Touaizi;MAR;MF;Espanyol;La Liga;22;1;0;0;0
Almamy Touré;MLI;DF;Eint Frankfurt;Bundesliga;26;3;2;0;0.56
Birama Touré;MLI;MF;Auxerre;Ligue 1;30;22;22;0;0.69
Souleymane Touré;FRA;DF;Marseille;Ligue 1;19;5;0;0;0
Souleymane Touré;FRA;DF;Auxerre;Ligue 1;19;5;4;0;0.51
Lucas Tousart;FRA;MF;Hertha BSC;Bundesliga;25;18;18;2;1.19
Yoann Touzghar;TUN;FW;Ajaccio;Ligue 1;36;8;5;0;0.7
Adama Traoré;ESP;FWMF;Wolves;Premier League;27;19;7;1;1.3
Boubacar Traoré;MLI;MF;Wolves;Premier League;21;8;4;0;0.7
Charles Traore;MLI;DF;Nantes;Ligue 1;31;7;3;0;0
Hamari Traoré;MLI;DF;Rennes;Ligue 1;31;19;18;1;0.99
Kevin Trapp;GER;GK;Eint Frankfurt;Bundesliga;32;18;18;0;0
Mark Travers;IRL;GK;Bournemouth;Premier League;23;11;10;0;0
Óscar Trejo;ARG;MFFW;Rayo Vallecano;La Liga;34;18;16;2;0.67
Manu Trigueros;ESP;MFFW;Villarreal;La Liga;31;11;3;0;0.71
Christopher Trimmel;AUT;DF;Union Berlin;Bundesliga;35;16;13;0;0.68
Kieran Trippier;ENG;DF;Newcastle Utd;Premier League;32;22;22;1;0.37
William Troost-Ekong;NGA;DF;Salernitana;Serie A;29;2;2;0;0
Leandro Trossard;BEL;FW;Arsenal;Premier League;28;3;0;1;5
Leandro Trossard;BEL;FWMF;Brighton;Premier League;28;16;16;7;2.6
Adrien Truffert;FRA;DF;Rennes;Ligue 1;21;22;19;0;0.4
Frank Tsadjout;ITA;FWMF;Cremonese;Serie A;23;7;2;0;2.5
Kostas Tsimikas;GRE;DF;Liverpool;Premier League;26;13;5;0;1.4
Theocharis Tsingaras;GRE;MF;Toulouse;Ligue 1;22;1;0;0;0
Viktor Tsyhankov;UKR;MF;Girona;La Liga;25;2;0;0;0
Alessandro Tuia;ITA;DF;Lecce;Serie A;32;3;2;0;0.91
Beñat Turrientes;ESP;MFFW;Real Sociedad;La Liga;21;6;1;0;0
Tuta;BRA;DF;Eint Frankfurt;Bundesliga;23;18;18;1;0.34
Iyenoma Udogie;ITA;DF;Udinese;Serie A;20;17;17;2;1.04
Ike Ugbo;CAN;FWMF;Troyes;Ligue 1;24;14;5;1;1.78
Chimuanya Ugochukwu;FRA;MF;Rennes;Ligue 1;18;14;8;0;0.33
Sven Ulreich;GER;GK;Bayern Munich;Bundesliga;34;3;3;0;0
Lauren Ulrich;GER;MF;Stuttgart;Bundesliga;18;1;0;0;0
Samuel Umtiti;FRA;DF;Lecce;Serie A;29;12;11;0;0.29
Enes Ünal;TUR;FW;Getafe;La Liga;25;20;20;6;2.34
Deniz Undav;GER;FWMF;Brighton;Premier League;26;10;2;0;4.23
Cengiz Ünder;TUR;MFDF;Marseille;Ligue 1;25;22;14;1;2.75
Dayot Upamecano;FRA;DF;Bayern Munich;Bundesliga;24;19;19;0;0.26
Filip Uremovi?;CRO;DF;Hertha BSC;Bundesliga;26;10;9;0;0.46
Oscar Ureña;ESP;MF;Girona;La Liga;20;3;1;0;0.91
Jere Uronen;FIN;DF;Brest;Ligue 1;28;6;3;0;0.3
Jere Uronen;FIN;DF;Schalke 04;Bundesliga;28;5;5;0;0.7
Mark Uth;GER;MFFW;Köln;Bundesliga;31;3;0;0;2
Josha Vagnoman;GER;DFMF;Stuttgart;Bundesliga;22;11;7;0;1.03
Diego Valencia;CHI;MFFW;Salernitana;Serie A;23;10;0;0;0.53
Óscar Valentín;ESP;MF;Rayo Vallecano;La Liga;28;17;14;0;0.66
Emanuele Valeri;ITA;DFFW;Cremonese;Serie A;24;20;18;1;1.39
Valery;ESP;MFDF;Girona;La Liga;23;15;5;0;0.63
Yan Valery;TUN;DF;Southampton;Premier League;23;1;1;0;0
Yan Valery;TUN;DF;Angers;Ligue 1;23;14;14;0;0.5
Enrique Valiente;ESP;DF;Sevilla;La Liga;20;6;4;1;0.73
Martin Valjent;SVK;DF;Mallorca;La Liga;27;18;18;0;0.06
Manu Vallejo;ESP;FWMF;Girona;La Liga;25;7;2;0;0.43
Mattia Valoti;ITA;MF;Monza;Serie A;29;7;2;0;0.37
Federico Valverde;URU;FWMF;Real Madrid;La Liga;24;20;17;6;2.41
Virgil van Dijk;NED;DF;Liverpool;Premier League;31;17;17;2;1.09
Vanderson;BRA;DF;Monaco;Ligue 1;21;20;14;0;0.9
Raphaël Varane;FRA;DF;Manchester Utd;Premier League;29;17;15;0;0.35
Jamie Vardy;ENG;FW;Leicester City;Premier League;36;22;11;1;1.22
Ruben Vargas;SUI;MFFW;Augsburg;Bundesliga;24;12;6;1;1.07
Johan Vásquez;MEX;DF;Cremonese;Serie A;24;10;6;0;0.71
Jesus Vazquez;ESP;DFMF;Valencia;La Liga;20;6;2;0;1.58
Kevin Vázquez;ESP;MFDF;Celta Vigo;La Liga;29;4;1;0;0
Lucas Vázquez;ESP;DF;Real Madrid;La Liga;31;10;4;2;1.49
Matías Vecino;URU;MF;Lazio;Serie A;31;20;9;1;1.48
Gabriel Veiga;ESP;MF;Celta Vigo;La Liga;20;19;12;6;2.7
Renato Veiga;POR;DF;Augsburg;Bundesliga;19;1;1;0;1.43
Miloš Veljkovi?;SRB;DF;Werder Bremen;Bundesliga;27;17;14;1;0.14
Miguel Veloso;POR;MF;Hellas Verona;Serie A;36;15;10;0;1.38
Joël Veltman;NED;DF;Brighton;Premier League;31;19;15;0;0.33
Mickey van de Ven;NED;DF;Wolfsburg;Bundesliga;21;20;20;1;0.45
Unai Vencedor Paris;ESP;MF;Athletic Club;La Liga;22;6;0;0;1.88
Lorenzo Venuti;ITA;DF;Fiorentina;Serie A;27;9;5;0;0.65
Daniele Verde;ITA;FWMF;Spezia;Serie A;26;12;5;2;2.64
Simone Verdi;ITA;MF;Hellas Verona;Serie A;30;10;5;1;2.18
Gonzalo Verdú;ESP;DF;Elche;La Liga;34;8;6;1;1.04
Jordan Veretout;FRA;MF;Marseille;Ligue 1;29;23;16;3;0.95
Marco Verratti;ITA;MF;Paris S-G;Ligue 1;30;17;16;0;0.22
Valerio Verre;ITA;MF;Sampdoria;Serie A;29;18;6;0;1.87
Mikel Vesga;ESP;MF;Athletic Club;La Liga;29;20;16;2;0.73
Guglielmo Vicario;ITA;GK;Empoli;Serie A;26;22;22;0;0
João Victor;BRA;DF;Nantes;Ligue 1;24;2;2;0;0
Aleix Vidal;ESP;MFFW;Espanyol;La Liga;33;15;8;0;0.37
Clément Vidal;FRA;DFMF;Ajaccio;Ligue 1;22;13;8;0;1.06
Nacho Vidal;ESP;DF;Osasuna;La Liga;28;13;10;0;0.81
Gabriel Vidovic;CRO;FW;Bayern Munich;Bundesliga;19;1;0;0;0
Fabio Vieira;POR;MFFW;Arsenal;Premier League;22;12;1;1;2.33
Ronaldo Vieira;GNB;MF;Torino;Serie A;24;1;0;0;0
Ronaldo Vieira;GNB;MF;Sampdoria;Serie A;24;16;8;0;0.66
Emanuel Vignato;ITA;MFFW;Bologna;Serie A;22;8;2;0;0.37
Emanuel Vignato;ITA;MF;Empoli;Serie A;22;1;0;1;10
Samuele Vignato;ITA;FWMF;Monza;Serie A;18;3;0;0;0
Tonny Vilhena;NED;MF;Salernitana;Serie A;28;20;17;3;1.59
Toni Villa;ESP;MF;Valladolid;La Liga;28;2;1;0;0
Toni Villa;ESP;MFFW;Girona;La Liga;28;17;8;1;2.14
Asier Villalibre;ESP;FW;Athletic Club;La Liga;25;5;1;0;3.64
Gonzalo Villar;ESP;MF;Sampdoria;Serie A;24;15;8;0;0.13
Gonzalo Villar;ESP;MF;Getafe;La Liga;24;4;0;0;0
Iván Villar;ESP;GK;Celta Vigo;La Liga;25;1;1;0;0
Matías Viña;URU;MF;Bournemouth;Premier League;25;1;0;0;0
Matías Viña;URU;DF;Roma;Serie A;25;3;1;0;0
Rúben Vinagre;POR;DFMF;Everton;Premier League;23;2;0;0;0
Carlos Vinícius;BRA;FW;Fulham;Premier League;27;15;4;1;1.67
Alan Virginius;FRA;FW;Lille;Ligue 1;20;10;1;1;5
Mattia Viti;ITA;DF;Nice;Ligue 1;21;8;7;1;0.29
Vitinha;POR;FW;Marseille;Ligue 1;22;2;1;0;1.67
Vitinha;POR;MF;Paris S-G;Ligue 1;22;21;17;0;1.18
Daniel Vivian;ESP;DF;Athletic Club;La Liga;23;15;14;1;0.5
Dušan Vlahovi?;SRB;FW;Juventus;Serie A;23;12;11;8;3.3
Nikola Vlaši?;CRO;MFFW;Torino;Serie A;25;22;20;4;2.05
Joel Voelkerling Persson;SWE;FW;Lecce;Serie A;20;4;0;0;0
Kevin Vogt;GER;DF;Hoffenheim;Bundesliga;31;15;15;0;0
Mërgim Vojvoda;KVX;DF;Torino;Serie A;28;16;10;0;0.91
Kevin Volland;GER;MFFW;Monaco;Ligue 1;30;8;3;2;3.13
Cristian Volpato;ITA;MF;Roma;Serie A;19;5;2;1;1.9
Aster Vranckx;BEL;MF;Milan;Serie A;20;7;0;0;0
Aster Vranckx;BEL;MF;Wolfsburg;Bundesliga;20;1;0;0;0
Stefan de Vrij;NED;DF;Inter;Serie A;31;13;12;1;0.74
Robert Wagner;GER;MF;Freiburg;Bundesliga;19;2;0;0;0
Walace;BRA;MF;Udinese;Serie A;27;21;21;0;1.09
Theo Walcott;ENG;FWMF;Southampton;Premier League;33;4;1;0;2
Luca Waldschmidt;GER;FW;Wolfsburg;Bundesliga;26;10;3;1;1.18
Kyle Walker;ENG;DF;Manchester City;Premier League;32;11;10;0;0.34
Kyle Walker-Peters;ENG;DF;Southampton;Premier League;25;16;16;1;0.38
Sebastian Walukiewicz;POL;DF;Empoli;Serie A;22;4;1;0;0.59
Aaron Wan-Bissaka;ENG;DF;Manchester Utd;Premier League;25;8;7;0;0.15
Paul Wanner;GER;MF;Bayern Munich;Bundesliga;17;2;0;0;0
Danny Ward;WAL;GK;Leicester City;Premier League;29;22;22;0;0
Joel Ward;ENG;DF;Crystal Palace;Premier League;33;16;14;0;0.07
James Ward-Prowse;ENG;MF;Southampton;Premier League;28;22;22;5;1.09
Ollie Watkins;ENG;FW;Aston Villa;Premier League;27;20;19;5;2.38
Timothy Weah;USA;DFFW;Lille;Ligue 1;22;13;6;0;2.08
Adam Webster;ENG;DF;Brighton;Premier League;28;16;14;0;1.01
Wout Weghorst;NED;FW;Manchester Utd;Premier League;30;4;4;0;0.67
Julian Weigl;GER;MF;M'Gladbach;Bundesliga;27;15;14;0;0.44
Nelson Weiper;GER;MF;Mainz 05;Bundesliga;17;2;0;0;0
Mitchell Weiser;GER;DFFW;Werder Bremen;Bundesliga;28;19;19;1;1.04
Noah Weißhaupt;GER;MFFW;Freiburg;Bundesliga;21;9;0;0;0.67
Shon Weissman;ISR;FW;Valladolid;La Liga;26;15;6;1;2.17
Danny Welbeck;ENG;FW;Brighton;Premier League;32;16;13;1;2.52
Marcel Wenig;GER;MF;Eint Frankfurt;Bundesliga;18;1;0;0;0
Timo Werner;GER;FWMF;RB Leipzig;Bundesliga;26;14;11;5;2.86
Ben White;ENG;DF;Arsenal;Premier League;25;21;21;0;0.27
Harvey White;ENG;MF;Tottenham;Premier League;21;1;0;0;0
Silvan Widmer;SUI;DF;Mainz 05;Bundesliga;29;16;14;2;1.31
Mateusz Wieteska;POL;DF;Clermont Foot;Ligue 1;26;23;23;0;0.48
Georginio Wijnaldum;NED;MF;Roma;Serie A;32;2;0;0;5
Iñaki Williams;GHA;FW;Athletic Club;La Liga;28;19;18;5;2.42
Neco Williams;WAL;DF;Nott'ham Forest;Premier League;21;21;13;0;1.48
Nico Williams;ESP;FWMF;Athletic Club;La Liga;20;21;20;4;2.14
Willian;BRA;FW;Fulham;Premier League;34;16;14;3;1.72
Joe Willock;ENG;MF;Newcastle Utd;Premier League;23;22;20;2;1.8
Callum Wilson;ENG;FW;Newcastle Utd;Premier League;30;16;14;7;3.28
Harry Wilson;WAL;FW;Fulham;Premier League;25;14;3;0;2.05
Patrick Wimmer;AUT;FWMF;Wolfsburg;Bundesliga;21;13;12;2;1.35
Jonas Wind;DEN;FW;Wolfsburg;Bundesliga;24;11;6;4;2.42
Harry Winks;ENG;MF;Sampdoria;Serie A;27;4;3;0;0.91
Frederik Winther;DEN;DF;Augsburg;Bundesliga;22;1;1;0;0
Florian Wirtz;GER;FWMF;Leverkusen;Bundesliga;19;5;3;0;0.65
Przemys?aw Wi?niewski;POL;DF;Spezia;Serie A;24;2;1;0;0.91
Yoane Wissa;COD;FW;Brentford;Premier League;26;22;9;4;2.02
Axel Witsel;BEL;DFMF;Atlético Madrid;La Liga;34;17;14;0;0.36
Maximilian Wöber;AUT;DF;Leeds United;Premier League;25;4;3;0;1.21
Hannes Wolf;AUT;FWMF;M'Gladbach;Bundesliga;23;8;0;1;1.82
Marius Wolf;GER;DFFW;Dortmund;Bundesliga;27;13;7;1;1.43
Jeong Woo-yeong;KOR;MFFW;Freiburg;Bundesliga;23;17;4;1;1.56
Chris Wood;NZL;FW;Newcastle Utd;Premier League;31;18;4;2;1.6
Chris Wood;NZL;FW;Nott'ham Forest;Premier League;31;3;3;0;0.43
Christopher Wooh;CMR;DF;Rennes;Ligue 1;21;9;8;0;0.66
Christopher Wooh;CMR;MF;Lens;Ligue 1;21;1;0;0;0
Joe Worrall;ENG;DF;Nott'ham Forest;Premier League;26;17;12;0;0.29
Xeka;POR;MF;Rennes;Ligue 1;28;8;6;0;0.82
Granit Xhaka;SUI;MF;Arsenal;Premier League;30;21;21;3;1.21
Jawad El Yamiq;MAR;DF;Valladolid;La Liga;30;12;7;0;0.75
Ryan Yates;ENG;MF;Nott'ham Forest;Premier League;25;18;16;0;1.61
Yusuf Yazýcý;TUR;MF;Lille;Ligue 1;26;4;3;1;2.27
Kelvin Yeboah;ITA;FWMF;Augsburg;Bundesliga;22;5;0;0;4.62
Gerard Yepes;ESP;MF;Sampdoria;Serie A;20;5;2;0;0.45
Darlin Yongwa;CMR;FWDF;Lorient;Ligue 1;22;4;0;0;2.5
Leny Yoro;FRA;DFMF;Lille;Ligue 1;17;6;5;0;0.22
Maya Yoshida;JPN;DF;Schalke 04;Bundesliga;34;20;20;0;0.3
Ashley Young;ENG;DF;Aston Villa;Premier League;37;17;13;1;0.61
Mohamed Youssouf;COM;DF;Ajaccio;Ligue 1;34;19;17;0;0.11
Mattia Zaccagni;ITA;FWMF;Lazio;Serie A;27;20;20;8;2.12
Dan-Axel Zagadou;FRA;DF;Stuttgart;Bundesliga;23;7;6;0;1.19
Wilfried Zaha;CIV;FWMF;Crystal Palace;Premier League;30;19;19;6;2.11
Warren Zaire-Emery;FRA;MF;Paris S-G;Ligue 1;16;11;2;2;1.38
Denis Zakaria;SUI;MF;Chelsea;Premier League;26;4;4;0;0.63
Denis Zakaria;SUI;MF;Juventus;Serie A;26;2;1;0;0
Rodrigo Zalazar;URU;MFFW;Schalke 04;Bundesliga;23;10;5;1;3.52
Joseba Zaldúa;ESP;DF;Cádiz;La Liga;30;10;7;0;0.14
Nicola Zalewski;POL;DF;Roma;Serie A;21;18;13;0;0.95
Andre-Frank Zambo Anguissa;CMR;MF;Napoli;Serie A;27;19;19;2;1.47
Oliver Zandén;SWE;DFMF;Toulouse;Ligue 1;21;5;1;0;1.25
Luca Zanimacchia;ITA;MFFW;Cremonese;Serie A;24;15;9;0;2.29
Nicolò Zaniolo;ITA;MFFW;Roma;Serie A;23;13;12;1;2.83
Alessandro Zanoli;ITA;DFMF;Sampdoria;Serie A;22;5;0;0;0.71
Alessandro Zanoli;ITA;DF;Napoli;Serie A;22;1;0;0;10
Duván Zapata;COL;FW;Atalanta;Serie A;31;15;8;1;2.84
Davide Zappacosta;ITA;DFMF;Atalanta;Serie A;30;6;4;1;1.43
Oier Zarraga;ESP;MFFW;Athletic Club;La Liga;24;15;3;0;2.41
Akim Zedadka;ALG;DF;Auxerre;Ligue 1;27;6;6;0;0.18
Akim Zedadka;ALG;DFMF;Lille;Ligue 1;27;8;4;1;0.77
Mehdi Zeffane;ALG;DFMF;Clermont Foot;Ligue 1;30;6;0;0;0
Aaron Zehnter;GER;DF;Augsburg;Bundesliga;18;1;0;0;0
Jordan Zemura;ZIM;DF;Bournemouth;Premier League;23;16;14;0;0.3
Arber Zeneli;KVX;FWMF;Reims;Ligue 1;27;18;11;0;2.8
Robin Zentner;GER;GK;Mainz 05;Bundesliga;28;15;15;0;0
Alessio Zerbin;ITA;FW;Napoli;Serie A;23;4;0;0;1.67
Michael Zetterer;GER;GK;Werder Bremen;Bundesliga;27;1;0;0;0
Nathan Zeze;FRA;DF;Nantes;Ligue 1;17;1;1;0;0
Edon Zhegrova;KVX;FWDF;Lille;Ligue 1;23;12;6;1;4.29
Piotr Zieli?ski;POL;MF;Napoli;Serie A;28;21;16;3;2.4
David Zima;CZE;DF;Torino;Serie A;22;9;4;0;0.89
Oleksandr Zinchenko;UKR;DF;Arsenal;Premier League;26;14;13;0;1.25
Joshua Zirkzee;NED;FW;Bologna;Serie A;21;9;4;1;3.08
Hakim Ziyech;MAR;FWMF;Chelsea;Premier League;29;12;5;0;1.93
Jeroen Zoet;NED;GK;Spezia;Serie A;32;3;2;0;0
Simon Zoller;GER;FW;Bochum;Bundesliga;31;18;16;3;1.93
Nadir Zortea;ITA;DFMF;Atalanta;Serie A;23;9;1;1;1.6
Nadir Zortea;ITA;DF;Sassuolo;Serie A;23;1;1;0;2
Kurt Zouma;FRA;DF;West Ham;Premier League;28;15;15;1;0.77
Petar Zovko;BIH;GK;Spezia;Serie A;20;1;0;0;0
Igor Zubeldia;ESP;DF;Real Sociedad;La Liga;25;16;14;1;0.29
Martín Zubimendi;ESP;MF;Real Sociedad;La Liga;24;19;18;1;0.28
Szymon ?urkowski;POL;MF;Fiorentina;Serie A;25;2;0;0;5
Szymon ?urkowski;POL;MF;Spezia;Serie A;25;1;0;0;0
Martin Ødegaard;NOR;MF;Arsenal;Premier League;24;20;20;8;2.73
Milan ?uri?;BIH;FW;Hellas Verona;Serie A;32;16;7;1;1.03
Filip ?uri?i?;SRB;MFFW;Sampdoria;Serie A;31;20;17;2;1.16
